date,baseline_value,selection1_value,dynamic_topk_value,adx,regime
2022-05-19 09:00:00,2000000.0,2000000.0,2000000.0,41.77984905536151,bear
2022-05-20 09:00:00,2000000.0,2000000.0,2000000.0,43.066185536871416,bear
2022-05-21 09:00:00,2000000.0,2000000.0,2000000.0,44.26013147510699,bear
2022-05-22 09:00:00,2000000.0,2000000.0,2000000.0,44.35329001694093,bear
2022-05-23 09:00:00,2000000.0,2000000.0,2000000.0,44.701975711808714,bear
2022-05-24 09:00:00,2000000.0,2000000.0,2000000.0,45.20464106599365,bear
2022-05-25 09:00:00,2000000.0,2000000.0,2000000.0,45.259146217883895,bear
2022-05-26 09:00:00,2000000.0,2000000.0,2000000.0,45.76107071317885,bear
2022-05-27 09:00:00,2000000.0,2000000.0,2000000.0,46.22701617013291,bear
2022-05-28 09:00:00,2000000.0,2000000.0,2000000.0,46.65957009809177,bear
2022-05-29 09:00:00,2000000.0,2000000.0,2000000.0,46.73427639509848,bear
2022-05-30 09:00:00,2000000.0,2000000.0,2000000.0,44.303965902429226,bear
2022-05-31 09:00:00,2000000.0,2000000.0,2000000.0,41.55041993104744,bear
2022-06-01 09:00:00,2000000.0,2000000.0,2000000.0,40.096282061549516,bear
2022-06-02 09:00:00,2000000.0,2000000.0,2000000.0,38.74624743851963,bear
2022-06-03 09:00:00,2000000.0,2000000.0,2000000.0,37.59775627817461,bear
2022-06-04 09:00:00,2000000.0,2000000.0,2000000.0,36.53146106870674,bear
2022-06-05 09:00:00,2000000.0,2000000.0,2000000.0,35.335912653846755,bear
2022-06-06 09:00:00,2000000.0,2000000.0,2000000.0,32.871332369568236,bear
2022-06-07 09:00:00,2000000.0,2000000.0,2000000.0,30.819156399750398,bear
2022-06-08 09:00:00,2000000.0,2000000.0,2000000.0,28.91377808258903,bear
2022-06-09 09:00:00,2000000.0,2000000.0,2000000.0,27.14468240953712,bear
2022-06-10 09:00:00,2000000.0,2000000.0,2000000.0,26.072029923436588,bear
2022-06-11 09:00:00,2000000.0,2000000.0,2000000.0,25.668141053005805,bear
2022-06-12 09:00:00,2000000.0,2000000.0,2000000.0,26.446837625798853,bear
2022-06-13 09:00:00,2000000.0,2000000.0,2000000.0,28.927665080527245,bear
2022-06-14 09:00:00,2000000.0,2000000.0,2000000.0,31.512044561612655,bear
2022-06-15 09:00:00,2000000.0,2000000.0,2000000.0,34.03170950565218,bear
2022-06-16 09:00:00,2000000.0,2000000.0,2000000.0,36.323276453156616,bear
2022-06-17 09:00:00,2000000.0,2000000.0,2000000.0,38.47792799580206,bear
2022-06-18 09:00:00,2000000.0,2000000.0,2000000.0,40.89778480182168,bear
2022-06-19 09:00:00,2000000.0,2000000.0,2000000.0,43.17321507442611,bear
2022-06-20 09:00:00,2000000.0,2000000.0,2000000.0,45.05900350392878,bear
2022-06-21 09:00:00,2000000.0,2000000.0,2000000.0,46.07485413095057,bear
2022-06-22 09:00:00,2000000.0,2000000.0,2000000.0,47.14001467812197,bear
2022-06-23 09:00:00,2000000.0,2000000.0,2000000.0,47.813355697757984,bear
2022-06-24 09:00:00,2000000.0,2000000.0,2000000.0,48.04023183085192,bear
2022-06-25 09:00:00,2000000.0,2000000.0,2000000.0,48.16204772541892,bear
2022-06-26 09:00:00,2000000.0,2000000.0,2000000.0,47.90362297039996,bear
2022-06-27 09:00:00,2000000.0,2000000.0,2000000.0,47.90097125930437,bear
2022-06-28 09:00:00,2000000.0,2000000.0,2000000.0,48.023111276885274,bear
2022-06-29 09:00:00,2000000.0,2000000.0,2000000.0,48.25326815197583,bear
2022-06-30 09:00:00,2000000.0,2000000.0,2000000.0,48.941663886105495,bear
2022-07-01 09:00:00,2000000.0,2000000.0,2000000.0,49.0130122986908,bear
2022-07-02 09:00:00,2000000.0,2000000.0,2000000.0,49.079263142382416,bear
2022-07-03 09:00:00,2000000.0,2000000.0,2000000.0,49.21425878408843,bear
2022-07-04 09:00:00,2000000.0,2000000.0,2000000.0,48.496357766999296,bear
2022-07-05 09:00:00,2000000.0,2000000.0,2000000.0,47.038086592990965,bear
2022-07-06 09:00:00,2000000.0,2000000.0,2000000.0,45.68399669586525,bear
2022-07-07 09:00:00,2000000.0,2000000.0,2000000.0,43.134019923562285,bear
2022-07-08 09:00:00,2000000.0,2000000.0,2000000.0,40.12554927455464,bear
2022-07-09 09:00:00,2000000.0,2000000.0,2000000.0,37.33200085241354,bear
2022-07-10 09:00:00,2000000.0,2000000.0,2000000.0,35.346635704565365,bear
2022-07-11 09:00:00,2000000.0,2000000.0,2000000.0,34.08324676044475,bear
2022-07-12 09:00:00,2000000.0,2000000.0,2000000.0,33.40982008920272,bear
2022-07-13 09:00:00,2000000.0,2000000.0,2000000.0,33.06458063849241,bear
2022-07-14 09:00:00,2000000.0,2000000.0,2000000.0,31.968028495389387,bear
2022-07-15 09:00:00,2000000.0,2000000.0,2000000.0,30.557093868962745,bear
2022-07-16 09:00:00,2000000.0,2000000.0,2000000.0,28.782424708229854,bear
2022-07-17 09:00:00,2000000.0,2000000.0,2000000.0,27.044829739711087,bear
2022-07-18 09:00:00,2000000.0,2000000.0,2000000.0,25.790639064000906,bear
2022-07-19 09:00:00,2000000.0,2000000.0,2000000.0,25.623832976047275,bull
2022-07-20 09:00:00,2000000.0,2000000.0,2000000.0,25.921906568559844,bull
2022-07-21 09:00:00,2000000.0,2000000.0,2000000.0,25.69111045278571,bull
2022-07-22 09:00:00,1999050.0,1999050.0,1999050.0,25.69395335548411,bull
2022-07-23 09:00:00,2019756.6509992965,1995023.824503078,2019756.6509992965,25.035933408884937,bull
2022-07-24 09:00:00,2018765.5665538176,2007752.6467843014,2018765.5665538176,24.424917151411343,bull
2022-07-25 09:00:00,1869437.408470054,1820812.401384355,1869437.408470054,22.906826923071925,sideways
2022-07-26 09:00:00,1851394.433451286,1803345.5032888104,1851394.433451286,21.69361549091647,sideways
2022-07-27 09:00:00,1851394.433451286,1803345.5032888104,1851394.433451286,21.11114868410887,sideways
2022-07-28 09:00:00,1851394.433451286,1803345.5032888104,1851394.433451286,21.207552707018085,sideways
2022-07-29 09:00:00,1851394.433451286,1803345.5032888104,1851394.433451286,21.524731145481944,sideways
2022-07-30 09:00:00,1850515.0210953965,1802488.9141747481,1850515.0210953965,22.09201281631025,sideways
2022-07-31 09:00:00,1824188.45482059,1770618.043461394,1817794.972430103,22.18208913066319,sideways
2022-08-01 09:00:00,1798791.1079276702,1756195.5105849071,1802988.1608484625,21.9609453897163,sideways
2022-08-02 09:00:00,1767747.291461757,1722838.6456701043,1768742.5246639233,21.61430751489158,sideways
2022-08-03 09:00:00,1785656.353189786,1735051.3921679046,1781280.6715924758,21.519837272877428,sideways
2022-08-04 09:00:00,1747897.9526431882,1698363.0532737048,1743614.7965411227,21.066778717356573,sideways
2022-08-05 09:00:00,2009409.8379103662,1952463.770800201,2004485.857081977,20.653998364848903,sideways
2022-08-06 09:00:00,1912916.147624616,1858704.6825150233,1908228.6208396296,20.27070286526043,sideways
2022-08-07 09:00:00,1936243.8801562202,1881371.3141615766,1931499.1896679471,19.829576193194846,sideways
2022-08-08 09:00:00,2115730.077226446,1885736.3948676428,1935980.5750186956,20.292170839783648,sideways
2022-08-09 09:00:00,2094859.5891950245,1874096.179651466,1924030.214083366,20.576046891826266,sideways
2022-08-10 09:00:00,2263214.859315159,1961397.793772792,2013657.9210983373,21.107854665365693,sideways
2022-08-11 09:00:00,2223526.908765662,1930945.2953102505,1982394.0362601783,22.19481618161129,sideways
2022-08-12 09:00:00,2266578.927906654,1968332.337259769,2020777.2308406471,23.204136674586234,sideways
2022-08-13 09:00:00,2268568.5159993256,1970060.1264544954,2022551.0558184232,24.49443820677913,sideways
2022-08-14 09:00:00,2215204.2899838137,1923717.803923428,1974973.973217918,25.85227480858612,sideways
2022-08-15 09:00:00,2177139.0710453195,1890661.3767066146,1941036.7796921167,27.28029651523675,bull
2022-08-16 09:00:00,2292016.6811584253,2016142.143122287,2043456.3583759936,28.12617933453593,bull
2022-08-17 09:00:00,2167605.8930623727,1928411.6467156112,1932537.4379007046,28.0396443062991,bull
2022-08-18 09:00:00,2104752.0995811047,1853264.5736452676,1876499.8946344694,27.959290398203187,bull
2022-08-19 09:00:00,1907567.9176866156,1654722.0038594382,1700699.5727712743,27.25807589250898,bull
2022-08-20 09:00:00,1969854.2917543883,1665403.5586766112,1756231.2310594884,26.60694846348145,bear
2022-08-21 09:00:00,1946496.9014789735,1677548.0339935524,1735406.859201408,25.620027493917004,bear
2022-08-22 09:00:00,1917300.1636347051,1673870.6856087516,1709376.3943788079,24.84624773170947,bear
2022-08-23 09:00:00,1917423.4923958322,1688476.2896671093,1709486.348613944,24.27152852289791,sideways
2022-08-24 09:00:00,1902419.7172452456,1682805.896897106,1703745.397976425,23.516666227228168,sideways
2022-08-25 09:00:00,1922913.59154979,1714701.8562283749,1736038.2453124688,22.815722909432715,sideways
2022-08-26 09:00:00,1825164.1217068464,1563018.8496307852,1582467.8157588383,23.315105214864786,sideways
2022-08-27 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,23.995456524476452,sideways
2022-08-28 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,24.940199595204906,sideways
2022-08-29 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,25.518588693574756,sideways
2022-08-30 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,25.918254592722935,bear
2022-08-31 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,26.289372845350435,bear
2022-09-01 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,26.81015667640274,bear
2022-09-02 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,26.86491693068285,bear
2022-09-03 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,26.944285505408033,bear
2022-09-04 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,27.117070076221154,bear
2022-09-05 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,27.25749904768972,bear
2022-09-06 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,28.447009376614442,bear
2022-09-07 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,29.55597174535892,bear
2022-09-08 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,30.58572239011841,bear
2022-09-09 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,29.34238617950569,bear
2022-09-10 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,28.46719355749824,bull
2022-09-11 09:00:00,1829430.4851223202,1545985.344149243,1565222.3588531464,27.78315572370472,bull
2022-09-12 09:00:00,1828561.5056418872,1545251.0011107724,1564478.8782326912,27.89371265961542,bull
2022-09-13 09:00:00,1699084.385095616,1421535.726064949,1453700.9691035573,26.050939601393186,bull
2022-09-14 09:00:00,1697554.4585071043,1452926.9542592552,1452391.995997874,24.539769634460086,bull
2022-09-15 09:00:00,1679421.995235854,1434698.7339900779,1436878.2406712556,23.136540481832697,sideways
2022-09-16 09:00:00,1671660.3218832507,1433839.8641155337,1430237.5157175567,22.155667128085508,sideways
2022-09-17 09:00:00,1752682.6476479988,1503335.4662088903,1499558.5185567478,21.022616744578542,sideways
2022-09-18 09:00:00,1649563.3239474103,1414886.5180900728,1411331.7876705045,20.590212884057458,sideways
2022-09-19 09:00:00,1603896.1948800068,1375716.2696374534,1372259.9497065968,21.084761002520175,sideways
2022-09-20 09:00:00,1519959.5230427363,1303720.933882952,1300445.4934832817,21.54398423224738,sideways
2022-09-21 09:00:00,1456368.8667596849,1248873.2230317467,1245735.5808397161,22.270796584344307,sideways
2022-09-22 09:00:00,1681038.609039444,1397700.1238358533,1394188.5721431144,22.945693739122724,sideways
2022-09-23 09:00:00,1730410.9709949428,1429233.2755120995,1425642.5006081308,23.425936632925108,sideways
2022-09-24 09:00:00,1680043.3811475951,1399794.317310411,1396277.504211083,23.87187644618476,sideways
2022-09-25 09:00:00,1655312.8427888916,1381193.5271862396,1377723.4463114662,24.471321203717913,sideways
2022-09-26 09:00:00,1643782.4446422798,1344040.3716595066,1340663.6335726143,24.5608824850052,sideways
2022-09-27 09:00:00,1610869.9122871233,1314043.6303832012,1310742.255463135,22.989329544776975,sideways
2022-09-28 09:00:00,1602197.2527496985,1308537.67737785,1305250.135495548,21.570336346526155,sideways
2022-09-29 09:00:00,1606344.5261007722,1315173.3341445946,1311869.1209811256,20.25269983935795,sideways
2022-09-30 09:00:00,1591414.3420369066,1273147.507955212,1269948.8795724674,19.347800573191286,sideways
2022-10-01 09:00:00,1582290.3406645441,1245498.9380937759,1242369.7733825608,18.507536987624416,sideways
2022-10-02 09:00:00,1564215.1153295352,1207857.0487015562,1204822.4546626615,17.451397293335305,sideways
2022-10-03 09:00:00,1581917.4319955946,1202947.5399760944,1199925.2804811988,17.02230129553476,sideways
2022-10-04 09:00:00,1636592.8664368035,1211946.6595915789,1208901.7909023506,17.447262514277547,sideways
2022-10-05 09:00:00,1642550.9263661287,1219938.1939153187,1216873.247467347,17.84186935371318,sideways
2022-10-06 09:00:00,1629352.433567665,1209663.8897228984,1206624.756215531,18.149664751909068,sideways
2022-10-07 09:00:00,1607401.081554334,1197968.1258567786,1194958.3765346892,17.35837534128217,sideways
2022-10-08 09:00:00,1591258.7871689382,1181795.9957696078,1178826.8769588952,16.52595061675429,sideways
2022-10-09 09:00:00,1600819.5033485002,1192793.8594175011,1189797.10981099,15.752984810645327,sideways
2022-10-10 09:00:00,1551255.9999565848,1149503.23877913,1146615.2515956804,14.673453260421255,sideways
2022-10-11 09:00:00,1509785.9532226748,1130634.9750527497,1127794.3920887727,14.04759678282424,sideways
2022-10-12 09:00:00,1512702.5182685489,1124738.6426382558,1121912.8734928642,13.466444345074509,sideways
2022-10-13 09:00:00,1485252.3143625387,1087002.1151854955,1084271.1544790491,14.18686506631804,sideways
2022-10-14 09:00:00,1488330.7786624306,1078902.581998239,1076191.9703845554,13.964029170479986,sideways
2022-10-15 09:00:00,1484019.2394909132,1073863.148625761,1071165.197975962,13.885181631029434,sideways
2022-10-16 09:00:00,1488202.987730121,1078717.3087124862,1076007.1625754158,13.480046283174934,sideways
2022-10-17 09:00:00,1507704.7903192583,1091241.7828293797,1088500.170473243,12.566373506322101,sideways
2022-10-18 09:00:00,1502485.6333066977,1083504.6985090743,1080782.5246369718,11.717963076038487,sideways
2022-10-19 09:00:00,1464523.444810354,1040956.5237056066,1038341.2469516383,10.93015339540146,sideways
2022-10-20 09:00:00,1447747.9488914239,1044125.0048079925,1041501.7676303333,10.467322387835912,sideways
2022-10-21 09:00:00,1470470.4616372786,1075809.8158318517,1073106.9744172837,10.548875181748803,sideways
2022-10-22 09:00:00,1474370.2867364583,1074336.045442877,1071636.9066972982,10.624602775740435,sideways
2022-10-23 09:00:00,1474370.2867364583,1127220.533629684,1124388.529034811,10.048837397044906,sideways
2022-10-24 09:00:00,1474370.2867364583,1112065.4407788883,1109271.5115129405,9.514198118995095,sideways
2022-10-25 09:00:00,1474370.2867364583,1142737.5391455735,1139866.549960189,10.409299752573332,sideways
2022-10-26 09:00:00,1473669.9608502584,1148746.1126128717,1145860.027616898,12.046599097403536,sideways
2022-10-27 09:00:00,1436034.4057364836,1119408.6769715617,1116596.2987171346,13.56694848409665,sideways
2022-10-28 09:00:00,1485295.272563851,1157808.2038501776,1154899.3514513245,14.524148558547836,sideways
2022-10-29 09:00:00,1502309.0665393358,1171070.6915233727,1168128.5187360868,15.842232179096696,sideways
2022-10-30 09:00:00,1478464.9548923266,1152483.8767745635,1149588.4011003994,17.044770412347347,sideways
2022-10-31 09:00:00,1513047.9203971955,1179686.5203658224,1176722.7013556876,17.31836265312408,sideways
2022-11-01 09:00:00,1528546.0312872434,1221709.687691828,1218640.2905810396,17.5724125904189,sideways
2022-11-02 09:00:00,1471084.779906262,1162940.0104414872,1160018.2650022632,18.408765893376444,sideways
2022-11-03 09:00:00,1472667.602048066,1154886.2035836915,1151984.6923553846,19.025858986257,sideways
2022-11-04 09:00:00,1480661.8833593156,1377547.8081970979,1374086.8867482047,20.655161136525155,sideways
2022-11-05 09:00:00,1464673.3207368164,1401838.165064015,1398316.2170456033,22.379158536577442,sideways
2022-11-06 09:00:00,1368741.9450018206,1353257.4513301807,1349857.556450806,23.9800132627209,sideways
2022-11-07 09:00:00,1319525.630658029,1490186.2413818033,1486442.329558958,23.82854952858765,sideways
2022-11-08 09:00:00,1147440.8533318164,1490186.2413818033,1486442.329558958,24.498032395527048,sideways
2022-11-09 09:00:00,891851.5628437672,1490186.2413818033,1486442.329558958,26.79490176246211,sideways
2022-11-10 09:00:00,1037336.4924369901,1490186.2413818033,1486442.329558958,28.92770902930592,bear
2022-11-11 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,30.908172917831482,bear
2022-11-12 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,32.74717509821004,bear
2022-11-13 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,34.68633892921357,bear
2022-11-14 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,36.84374268811071,bear
2022-11-15 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,38.84704617692454,bear
2022-11-16 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,40.707256558023,bear
2022-11-17 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,42.434594767860396,bear
2022-11-18 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,43.48638321726509,bear
2022-11-19 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,44.46304391970719,bear
2022-11-20 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,45.52052463369548,bear
2022-11-21 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,46.82470025255833,bear
2022-11-22 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,48.03572046950144,bear
2022-11-23 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,48.300532825580305,bear
2022-11-24 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,48.33921951893607,bear
2022-11-25 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,48.51825288544584,bear
2022-11-26 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,48.52910951015432,bear
2022-11-27 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,48.53919066166605,bear
2022-11-28 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,48.867971085579924,bear
2022-11-29 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,49.222704711677224,bear
2022-11-30 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,47.92802206154868,bear
2022-12-01 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,46.495692327173806,bear
2022-12-02 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,45.432684889439464,bear
2022-12-03 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,44.445606554606904,bear
2022-12-04 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,43.40788062126918,bear
2022-12-05 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,42.1105974376726,bear
2022-12-06 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,40.90597733882038,bear
2022-12-07 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,40.2608981760244,bear
2022-12-08 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,39.36661843674728,bear
2022-12-09 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,38.53621582181559,bear
2022-12-10 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,37.76512767947502,bear
2022-12-11 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,37.165309518960406,bear
2022-12-12 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,37.10957010202122,bear
2022-12-13 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,34.91852826898054,bear
2022-12-14 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,32.73237221263119,bear
2022-12-15 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,30.676994560457256,bear
2022-12-16 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,30.08629717407994,bear
2022-12-17 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,29.722048155631025,bear
2022-12-18 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,29.38381692423745,bear
2022-12-19 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,29.89471129285781,bear
2022-12-20 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,30.369113206548565,bear
2022-12-21 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,30.80962926923714,bear
2022-12-22 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,31.515538535309556,bear
2022-12-23 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,32.10552719487289,bear
2022-12-24 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,32.65337380730039,bear
2022-12-25 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,33.29139883378022,bear
2022-12-26 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,34.160676902354254,bear
2022-12-27 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,35.44782523743747,bear
2022-12-28 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,36.91628544139501,bear
2022-12-29 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,38.394539032895764,bear
2022-12-30 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,39.991859834387526,bear
2022-12-31 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,41.400580850291355,bear
2023-01-01 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,42.70867893645587,bear
2023-01-02 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,42.87335363399319,bear
2023-01-03 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,42.802554219073215,bear
2023-01-04 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,41.58558992341037,bear
2023-01-05 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,40.45555164888678,bear
2023-01-06 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,39.697558895707715,bear
2023-01-07 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,38.99370848205244,bear
2023-01-08 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,37.57491757947924,bear
2023-01-09 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,35.909392980499824,bear
2023-01-10 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,33.89482811665973,bear
2023-01-11 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,32.64368738938348,bear
2023-01-12 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,33.77406375106013,bull
2023-01-13 09:00:00,971962.8731401393,1490186.2413818033,1486442.329558958,35.66436985071589,bull
2023-01-14 09:00:00,971501.1907753977,1489478.402917147,1485736.2694524177,38.106321122515986,bull
2023-01-15 09:00:00,962251.8989549561,1473292.3236793443,1471591.1418346001,40.37384730345362,bull
2023-01-16 09:00:00,969925.0672352776,1480512.8675908917,1483325.8720891112,42.7245082927359,bull
2023-01-17 09:00:00,964741.7348116889,1488103.1122260585,1475398.8977822573,44.937063234859636,bull
2023-01-18 09:00:00,903951.4987017278,1396951.7709968386,1382431.1696160587,45.7988691493879,bull
2023-01-19 09:00:00,923075.749208566,1429488.3187858588,1411678.2697471716,46.59911749858756,bull
2023-01-20 09:00:00,982085.9538194203,1522946.2421420843,1501923.7600158746,48.240579660586725,bull
2023-01-21 09:00:00,969507.0743532922,1507863.641785576,1482686.6271854143,50.05820021805451,bull
2023-01-22 09:00:00,980373.6739465253,1533835.3941068891,1499305.136040146,51.74599073569448,bull
2023-01-23 09:00:00,1001483.2367170863,1589000.685871182,1531588.4140621445,53.37184826448394,bull
2023-01-24 09:00:00,963702.6473687524,1531917.974280402,1473809.8005008933,54.4297981343826,bull
